id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
324335,CN-0070,closed,Changchun East Airport,43.888157,125.405307,660,AS,CN,CN-22,Changchun,no,,,,,,
44150,CN-0072,medium_airport,Lingshui Air Base,18.49440002,109.987999,,AS,CN,CN-46,,no,,,,,,
44153,CN-0075,small_airport,Meixian Air Base,24.26499939,116.0999985,,AS,CN,CN-44,,no,,,,,,
32549,SVUM,small_airport,Uriman Airport,5.333333015,-62.76666641,1148,SA,VE,VE-F,,no,SVUM,URM,,,,
32398,SVUQ,small_airport,Uon Quen Airport,4.983333111,-61.72833252,2820,SA,VE,VE-F,,no,SVUQ,,,,,
44162,CN-0084,closed,Wuhan Air Base,30.59860039,114.2419968,80,AS,CN,CN-42,Wuhan,no,ZHWT,,,,,"Wangjiadun Airport,"
44167,CN-0089,medium_airport,Baitabu Air Base,34.57139969,118.875,,AS,CN,CN-32,,no,,,,,,
44171,CN-0093,medium_airport,Jinan Air Base,36.67919922,116.9209976,,AS,CN,CN-37,,no,,,,,,
44179,CN-0101,seaplane_base,Qingdao Naval Base,36.0469017,120.2839966,,AS,CN,CN-37,,no,,,,,,
40347,SVYI,small_airport,El Yavi Airport,5.458333015,-65.89833069,557,SA,VE,VE-Z,,no,SVYI,,,,,
44189,CN-0111,medium_airport,Zhucheng Air Base,36.02750015,119.439003,,AS,CN,CN-37,,no,,,,,,
44192,CN-0114,medium_airport,Baoji Air Base,34.53170013,107.4720001,,AS,CN,CN-61,,no,,,,,,
37782,SWAH,small_airport,Agropecuária Floresta São Joaquim Ltda Airport,-10.141667,-60.652778,325,SA,BR,BR-MT,Aripuanã,no,,,,,,SWAH
44213,CN-0135,medium_airport,Wulumuqi Air Base,43.95029831,87.07859802,2425,AS,CN,CN-65,,no,,,,,,
37789,SWAS,heliport,Telebrás I Heliport,-15.80611134,-47.88360977,3661,SA,BR,BR-DF,Brasília,no,SWAS,,,,,
44227,CN-0149,medium_airport,Fuzhou Air Base,26.00440025,119.3119965,,AS,CN,CN-35,Fuzhou,no,,,,,,
37793,SWAZ,small_airport,Santo Atanázio Airport,0.39972201,-69.30055237,394,SA,BR,BR-AM,São Gabriel Da Cachoeira,no,SWAZ,,,,,
44241,CN-0163,medium_airport,Nanchang Xiangtang Air Base,28.42079926,115.9240036,,AS,CN,CN-36,Nanchang,no,,,,,,
44247,CN-0169,medium_airport,Shanghai Dachang Air Base,31.32360077,121.4110031,,AS,CN,CN-31,Shanghai,no,,,,,,
37797,SWBH,small_airport,Brejinho de Nazaré Airport,-11.01694393,-48.60055542,869,SA,BR,BR-TO,Brejinho De Nazaré,no,SWBH,,,,,
334016,SWBM,heliport,Bauminas Heliport,-21.375625,-42.732444,630,SA,BR,BR-MG,Cataguases,no,SWBM,,MG0280,,,
37799,SWBN,small_airport,Fazenda Barreirinhos Airport,-16.94638824,-56.39277649,377,SA,BR,BR-MT,Barão De Melgaço,no,SWBN,,,,,
44273,CN-0195,small_airport,Jinzhou North Airfield,41.18690109,121.1729965,,AS,CN,CN-21,Jinzhou,no,,,,,,
44276,CN-0198,medium_airport,Lalin Air Base,45.25939941,126.8949966,,AS,CN,CN-23,,no,,,,,,
44279,CN-0201,medium_airport,Pingquan Air Base,40.9007988,118.6809998,,AS,CN,CN-13,,no,,,,,,
37806,SWBX,small_airport,Fazenda Santo Antônio do Paraíso Airport,-17.49111176,-55.22833252,650,SA,BR,BR-MT,Itiquira,no,SWBX,,,,,
16822,CN10,heliport,Mono County Medical Heliport,38.25329971,-119.2310028,6450,NA,US,US-CA,Bridgeport,no,CN10,,CN10,,,
16830,CN20,seaplane_base,Ferndale Resort Seaplane Base,39.00299835,-122.7969971,1326,NA,US,US-CA,Kelseyville,no,CN20,,CN20,,,
37826,SWDA,small_airport,Fazenda Duas Âncoras - Seção Sede Airport,-14.938389,-52.173471,925,SA,BR,BR-MT,Barra Do Garças,no,,,,,,SWDA
16837,CN28,heliport,Big Creek Helistop,37.2010994,-119.2519989,4960,NA,US,US-CA,Big Creek,no,CN28,,CN28,,,
37831,SWDI,small_airport,Dois Irmãos Airport,-11.73361111,-49.33388901,771,SA,BR,BR-TO,Peixe,no,SWDI,,,,,
16845,CN38,small_airport,Flying B Ranch Airport,38.34130096,-121.4369965,19,NA,US,US-CA,Franklin,no,CN38,,CN38,,,
334198,SWDX,heliport,Edifício Torre Almirante Heliport,-22.907299,-43.175486,417,SA,BR,BR-RJ,Rio de Janeiro,no,SWDX,,RJ0154,,,
334379,SWEA,small_airport,Fazenda Santiago de Compostela,-13.450612,-60.270319,876,SA,BR,BR-MT,Comodoro,no,SWEA,,MT0332,,,
531,SWEE,small_airport,Estirão do Equador Airport,-4.523779869,-71.56079865,98,SA,BR,BR-AM,Atalaia Do Norte,no,SWEE,,SWEE,,,
1285,CNA2,small_airport,Highgate Airport,42.5544014,-81.80310059,710,NA,CA,CA-ON,Highgate,no,CNA2,,CNA2,,https://en.wikipedia.org/wiki/Highgate_Airport,NA2
37852,SWEO,small_airport,Itapara Sport Fishing Airport,0.209721997,-61.54999924,262,SA,BR,BR-RR,Rorainópolis,no,SWEO,,,,,
37857,SWET,small_airport,Fazenda Encantado Airport,-13.312904,-58.799697,558,SA,BR,BR-MT,Sapezal,no,SIEM,,MT0091,,,SWET
37860,SWEW,small_airport,Fazenda Felicidade Airport,-15.84222221,-58.63166809,656,SA,BR,BR-MT,Porto Esperidião,no,SWEW,,,,,
1298,CND4,small_airport,Stanhope Municipal Airport,45.11083333,-78.64,1066,NA,CA,CA-ON,Haliburton,no,CND4,,CND4,,https://en.wikipedia.org/wiki/Haliburton/Stanhope_Municipal_Airport,ND4
37868,SWFF,small_airport,Fazenda Figueira Branca Airport,-10.72361088,-54.83833313,1001,SA,BR,BR-MT,Sinop,no,SWFF,,,,,
28236,CNE6,seaplane_base,Geraldton/Hutchison Lake Seaplane Base,49.784199,-86.938904,1113,NA,CA,CA-ON,Geraldton,no,CNE6,,CNE6,,https://en.wikipedia.org/wiki/Geraldton/Hutchison_Lake_Water_Aerodrome,NE6
37878,SWFU,small_airport,Fortuna Airport,-16.1669445,-59.50055695,866,SA,BR,BR-MT,Fortuna,no,SWFU,,,,,
37881,SWFZ,small_airport,Fazenda Shalon Airport,-9.987398,-56.675869,876,SA,BR,BR-MT,Alta Floresta,no,SDSH,,MT0060,,,"SWFZ, Serafino Ferruzzi"
28258,CNJ5,seaplane_base,Hearst/Carey Lake Seaplane Base,49.7439,-84.0247,801,NA,CA,CA-ON,Hearst,no,CNJ5,,CNJ5,,,
28211,CNK5,seaplane_base,Dorset/Kawagama Lake (Old Mill Marina) Seaplane Base,45.26670074,-78.8082962,1165,NA,CA,CA-ON,,no,CNK5,,CNK5,,,
539,SWGP,small_airport,Palmeiras de Goiás Airport,-16.82690048,-49.87889862,1995,SA,BR,BR-GO,Palmeiras De Goiás,no,SWGP,,SWGP,,,
37890,SWGS,small_airport,Fazenda Divisa Airport,-9.791666985,-50.81999969,755,SA,BR,BR-MT,Santana Do Araguaia,no,SWGS,,,,,
542,SWHT,small_airport,Humaitá Airport,-7.532120228,-63.07210159,230,SA,BR,BR-AM,Humaitá,no,SWHT,HUW,SWHT,,https://en.wikipedia.org/wiki/Humait%C3%A1_Airport,
45658,SWHY,small_airport,Fazenda Esperança I Airport,-4.13,-48.69,285,SA,BR,BR-PA,Rondon Do Pará,no,SWHY,,,,,
28379,CNQ7,seaplane_base,Port Loring Seaplane Base,45.89233803,-80.10301352,668,NA,CA,CA-ON,,no,CNQ7,,CNQ7,,,
37907,SWIE,small_airport,Fazenda São Francisco Airport,-13.919444,-50.009998,984,SA,BR,BR-GO,Mundo Novo,no,SIGS,,GO0049,,,SWIE
37909,SWIJ,small_airport,Fazenda São Jorge Airport,-17.51805687,-54.82638931,1683,SA,BR,BR-MT,Itiquira,no,SWIJ,,,,,
37915,SWIU,small_airport,Madeirinha Airport,-9.846388817,-61.41749954,476,SA,BR,BR-MT,Aripuanã,no,SWIU,,,,,
37932,SWJT,small_airport,Joatão do Colorado Airport,-11.493914,-52.620184,1165,SA,BR,BR-MT,São Félix do Araguaia,no,SWXD,,MT0505,,,"SWJT, Fazenda Joatão"
17677,I96,small_airport,Columbia-Adair Co. Airport,37.08530045,-85.34719849,818,NA,US,US-KY,Columbia,no,I96,,I96,,,
549,SWJV,small_airport,Palmeiras do Javari Airport,-5.127240181,-72.80999756,394,SA,BR,BR-AM,Atalaia Do Norte,no,SWJV,,SWJV,,,
550,SWJW,small_airport,Jataí Airport,-17.82990074,-51.77299881,2529,SA,BR,BR-GO,Jataí,no,SWJW,JTI,SWJW,,http://pt.wikipedia.org/wiki/Aeroporto_de_Jata%C3%AD,
551,SWKC,small_airport,Cáceres Airport,-16.04360008,-57.62990189,492,SA,BR,BR-MT,Cáceres,no,SWKC,CCX,SWKC,,,
45116,CO-0015,heliport,Cofa Montenegro Heliport,4.508333,-75.786389,,SA,CO,CO-QUI,Montenegro,no,,,1CO,,,
557,SWLB,small_airport,Lábrea Airport,-7.278969765,-64.76950073,190,SA,BR,BR-AM,Lábrea,no,SWLB,LBR,SWLB,,,
45122,CO-0021,heliport,Hospital General De Medellin Heliport,6.235,-75.572778,,SA,CO,CO-ANT,Medellin,no,,,HOY,,,
45598,SWLG,small_airport,Recanto Airport,-12.999444,-51.905556,1335,SA,BR,BR-MT,Ribeirão Cascalheira,no,SWLG,,,,,
45142,CO-0041,heliport,Parque Central Bavaria Heliport,4.620278,-74.073333,,SA,CO,CO-CUN,Bogota,no,,,IPA,,,
45143,CO-0042,heliport,Clinica Shaio Heliport,4.700833,-74.0675,,SA,CO,CO-CUN,Bogotá,no,,,CLI,,,
317261,CO-0054,small_airport,Ríohacha Highway Strip,11.4988,-72.9892,30,SA,CO,CO-GUV,Ríohacha,no,,,,,,
37975,SWNB,small_airport,Nobres Airport,-14.70722198,-56.33833313,722,SA,BR,BR-MT,Nobres,no,SWNB,,,,,
16856,CO02,small_airport,Harrington Ranch Airport,39.62969971,-104.5189972,5975,NA,US,US-CO,Bennet,no,CO02,,CO02,,,
14048,7AL9,small_airport,Horak Airport,30.46689987,-87.54160309,110,NA,US,US-AL,Elberta,no,7AL9,,7AL9,,,
37983,SWNM,small_airport,Normândia Airport,3.86638999,-59.61719894,282,SA,BR,BR-RR,Normândia,no,SWNM,,,,,
37984,SWNN,small_airport,Novo Intento Airport,2.779999971,-60.6166687,282,SA,BR,BR-RR,Cantá,no,SWNN,,SWNN,,,
566,SWNQ,small_airport,Niquelândia Airport,-14.43490028,-48.49150085,2756,SA,BR,BR-GO,Niquelândia,no,SWNQ,NQL,SWNQ,,,
16870,CO16,heliport,Arapahoe Medical Park/Littleton Hospital Heliport,39.57640076,-104.9869995,5581,NA,US,US-CO,Littleton,no,CO16,,CO16,,,
43038,CO22,small_airport,Hildebrandt Airport,39.27916718,-102.4749985,4300,NA,US,US-CO,Bethune,no,CO22,,CO22,,,
37995,SWOE,small_airport,Fazenda Duas Lagoas Airport,-16.165826,-58.185139,688,SA,BR,BR-MT,Cáceres,no,SSDU,,MT0286,,,SWOE
37998,SWOJ,small_airport,Fazenda Nova Alvorada Airport,-11.57333279,-58.26972198,1092,SA,BR,BR-MT,Brasnorte,no,SWOJ,,,,,
16889,CO35,heliport,Denver Health Heliport,39.72750092,-104.9909973,5212,NA,US,US-CO,Denver,no,CO35,,CO35,,,
16892,CO38,small_airport,Comanche Airfield Llc Airport,39.74720001,-104.3130035,5350,NA,US,US-CO,Strasburg,no,CO38,,CO38,,,
38010,SWOV,small_airport,Retiro Arrombadinho Airport,-17.50749969,-55.40805435,423,SA,BR,BR-MT,Itiquira,no,SWOV,,,,,
38026,SWPO,small_airport,Fazenda Porta do Amazônia Airport,-10.26527786,-51.24139023,787,SA,BR,BR-MT,Santa Terezinha,no,SWPO,,,,,
42242,SWQL,small_airport,Fazenda Três Companheiros Airport,-16.68250084,-52.25249863,2070,SA,BR,BR-GO,Doverlândia,no,SWQL,,,,,
44440,SWQR,small_airport,Estância Norteagro Airport,2.675832987,-60.77861023,279,SA,BR,BR-RR,Boa Vista,no,SWQR,,,,,
323920,SWQS,small_airport,Fazenda Santa Rosa,-20.941333,-53.435333,1424,SA,BR,BR-MS,Ribas do Rio Pardo,no,SWQS,,SWQS,,,
16949,CO96,small_airport,Reed Hollow Ranch Airport,39.37170029,-104.7429962,6200,NA,US,US-CO,Franktown,no,CO96,,CO96,,,
38048,SWRC,small_airport,Fazenda Sevilha Airport,-12.62666702,-51.93416595,951,SA,BR,BR-MT,Ribeirão Cascalheira,no,SWRC,,,,,
38050,SWRG,small_airport,Fazenda Rancho Maria e Tereza Airport,-10.82583332,-65.22861481,492,SA,BR,BR-RO,Guajará-Mirim,no,SWRG,,,,,
38053,SWRM,small_airport,Santo Antônio do Descoberto Airport,-15.9305563,-48.33361053,3674,SA,BR,BR-GO,Santo Antônio Do Descoberto,no,SWRM,,,,,
315889,EEKI,small_airport,lennuväli,58.115556,25.552778,,EU,EE,EE-84,Karksi,no,EEKI,,,,,
1378,CPB2,heliport,Fergus (Groves Memorial Community Hospital) Heliport,43.72148995,-80.37602752,1411,NA,CA,CA-ON,Fergus,no,CPB2,,CPB2,,,PB2
1380,CPB5,small_airport,Pilot Butte Airport,50.46110153,-104.4309998,2000,NA,CA,CA-SK,Pilot Butte,no,CPB5,,CPB5,,https://en.wikipedia.org/wiki/Pilot_Butte_Airport,PB5
1383,CPB9,small_airport,Baldwin Airport,44.26720047,-79.34059906,750,NA,CA,CA-ON,Baldwin,no,CPB9,,CPB9,,https://en.wikipedia.org/wiki/Baldwin_Airport,PB9
581,SWSM,small_airport,Fazenda Santa Maria Airport,-15.35833,-57.69444,525,SA,BR,BR-MT,Lambari D`Oeste,no,SWSM,,SWSM,,,
582,SWSQ,small_airport,São Joaquim Airport,1.733055556,-69.38388889,541,SA,BR,BR-AM,São Gabriel Da Cachoeira,no,SWSQ,,SWSQ,,,
1397,CPE6,small_airport,South River/Sundridge Airport & Float Plane Base,45.82109833,-79.32330322,1160,NA,CA,CA-ON,South River - Sundridge,no,CPE6,,CPE6,http://www.flyalmaguin.com,https://en.wikipedia.org/wiki/South_River/Sundridge_Airport,"PE6, almaguin, South River Sundridge"
38077,SWSX,closed,Seringal Nova Olinda Airport,-10.104444,-69.211945,673,SA,BR,BR-AC,Sena Madureira,no,,,,,,
38082,SWTC,closed,Tocantínia Airport,-9.545695,-48.399067,656,SA,BR,BR-TO,Tocantínia,no,,,,,,"SWTC, Miracema do Norte"
1406,CPG4,small_airport,Elmira (East) Airport,43.59189987,-80.5121994,1150,NA,CA,CA-ON,Elmira,no,CPG4,,CPG4,,https://en.wikipedia.org/wiki/Elmira_(East)_Airport,PG4
587,SWTU,small_airport,Fazenda Tucunaré Airport,-13.465528,-58.866935,1814,SA,BR,BR-MT,Sapezal,no,SWTU,AZL,MT0410,,,
331885,SWTZ,small_airport,Fazenda Santo Antônio - Zampieri Airport,-20.739129,-53.535518,1319,SA,BR,BR-MS,Ribas do Rio Pardo,no,SWTZ,,MS0396,,,
38099,SWUE,small_airport,Fazenda Tapayuna Airport,-10.7033329,-55.9366684,1197,SA,BR,BR-MT,Nova Canaã Do Norte,no,SWUE,,,,,
38100,SWUI,small_airport,Pauini Airport,-7.722499847,-67.02833557,397,SA,BR,BR-AM,Pauini,no,SWUI,,,,,
38101,SWUJ,small_airport,Taguá Agropecuária Airport,-12.20499992,-55.3777771,1230,SA,BR,BR-MT,Vera,no,SWUJ,,,,,
38103,SWUL,small_airport,Fazenda Furna Azul Airport,-6.218056202,-48.42139053,407,SA,BR,BR-TO,Ananás,no,SWUL,,,,,
38106,SWUO,closed,Fazenda Santo André Airport,-13.68638897,-55.98722076,1529,SA,BR,BR-MT,Nova Mutum,no,SWUO,,,,,
328479,US-0914,heliport,St Vincent North Hospital Heliport,34.813552,-92.2073722,260,NA,US,US-AR,North Little Rock,no,1AR8,,1AR8,,,http://www.airnav.com/airport/1AR8
38120,SWVJ,small_airport,Fazenda Uiapuru Airport,-13.66388893,-56.00222015,1519,SA,BR,BR-MT,Nova Mutum,no,SWVJ,,,,,
38121,SWVK,small_airport,Fazenda Vale do Rio Celeste Airport,-13.03694439,-55.32611084,1411,SA,BR,BR-MT,Nova Ubiratã,no,SWVK,,,,,
1450,CPS2,small_airport,Elmhirst's Resort Airport,44.25147022,-78.10725689,650,NA,CA,CA-ON,Keene,no,CPS2,,CPS2,,https://en.wikipedia.org/wiki/Keene/Elmhirst's_Resort_Airport,PS2
38129,SWVZ,small_airport,EMAL - Empresa de Mineração Aripuanã Ltda Airport,-14.75,-56.35277939,2362,SA,BR,BR-MT,Nobres,no,SWVZ,,,,,
1470,CPW8,heliport,Powell River (Hospital) Heliport,49.85279846,-124.5230026,300,NA,CA,CA-BC,Powell River,no,CPW8,,CPW8,,,PW8
38140,SWWT,small_airport,Sílvio Gonçalves de Mello Airport,-18.70555687,-45.33555603,1988,SA,BR,BR-MG,Morada Nova De Minas,no,SWWT,,,,,
31882,SWXM,small_airport,Regional Orlando Villas Boas Airport,-10.1702776,-54.95277786,886,SA,BR,BR-MT,Matupá,no,SWXM,MBK,,,https://en.wikipedia.org/wiki/Matup%C3%A1_Airport,Matupá Airport
335078,SWXN,small_airport,Fazenda Bom Jardim Airport,-17.247325,-51.270546,2933,SA,BR,BR-GO,Montividiu,no,SWXN,,GO0199,,,
41097,SWXO,small_airport,Fazenda Porto Seguro Airport,-7.131667137,-52.72722244,800,SA,BR,BR-PA,São Félix Do Xingu,no,SWXO,,,,,
1485,CRD3,heliport,Red Deer Regional Hospital Centre Heliport,52.26190186,-113.8160019,2877,NA,CA,CA-AB,Red Deer,no,CRD3,,CRD3,,,RD3
38166,SWYI,small_airport,Barragem Manoel Alves Airport,-11.557041,-46.985109,2067,SA,BR,BR-TO,Dianópolis,no,,,,,,SWYI
602,SWYN,small_airport,Prainha Airport,-7.172870159,-59.83959961,197,SA,BR,BR-AM,Apuí,no,SWYN,,SWYN,,,
320785,CRL8,seaplane_base,Roberts Lake Seaplane Base,45.249602,-79.8258,813,NA,CA,CA-ON,Parry Sound,no,CRL8,,CRL8,,https://en.wikipedia.org/wiki/Parry_Sound_(Roberts_Lake)_Water_Aerodrome,
604,SWYV,small_airport,Clube de Marte Ibirá de Pará-Quedismo Airport,-21.0913887,-49.22416687,1591,SA,BR,BR-SP,Ibirá,no,SWYV,,SWYV,,,
320665,CRS4,small_airport,Rosseau Airport,45.2691,-79.6558,835,NA,CA,CA-ON,,no,CRS4,,CRS4,,https://en.wikipedia.org/wiki/Rosseau_Aerodrome,
38181,SWZE,small_airport,Fazenda Tamboril Airport,-15.06222153,-59.3741684,1099,SA,BR,BR-MT,Pontes E Lacerda,no,SWZE,,,,,
28281,CSA9,seaplane_base,Lac-Des-Îles Seaplane Base,46.4119,-75.519995,660,NA,CA,CA-QC,,no,CSA9,,CSA9,,https://en.wikipedia.org/wiki/Lac-des-%C3%8Eles_Water_Aerodrome,SA9
1503,CSC5,small_airport,Lac Etchemin Airport,46.40719986,-70.50140381,1500,NA,CA,CA-QC,Lac Etchemin,no,CSC5,,CSC5,,https://en.wikipedia.org/wiki/Lac_Etchemin_Airport,SC5
28158,CSC6,seaplane_base,Amos (Lac Figuery) Seaplane Base,48.49969864,-78.11779785,,NA,CA,CA-QC,,no,CSC6,,CSC6,,,
24678,SXP,small_airport,Nunam Iqua Airport,62.520599,-164.848006,12,NA,US,US-AK,Nunam Iqua,yes,,SXP,SXP,,https://en.wikipedia.org/wiki/Sheldon_Point_Airport,Sheldon Point Airport
1508,CSD5,heliport,Fermont Heliport,52.80609894,-67.10220337,2009,NA,CA,CA-QC,Fermont,no,CSD5,,CSD5,,,SD5
28325,CSE8,seaplane_base,Lac Duhamel Seaplane Base,46.14080048,-74.64170074,800,NA,CA,CA-QC,Mont-Tremblant,no,CSE8,,CSE8,,,
28285,CSF8,closed,Lac Kaiagamac Seaplane Base,46.651699,-73.894995,1190,NA,CA,CA-QC,,no,,,SF8,,,
31782,SYKT,small_airport,Kato Airport,4.649159908,-59.8321991,2299,SA,GY,GY-PT,Kato,no,SYKT,KTO,,,,
6357,SYLD,small_airport,Linden Airport,5.96592,-58.270302,180,SA,GY,GY-UD,Linden,no,SYLD,,,,https://en.wikipedia.org/wiki/Linden_Airport_(Guyana),
320668,CSG9,heliport,Sagard Heliport,47.990844,-70.0774864,795,NA,CA,CA-QC,Sagard,no,CSG9,,CSG9,,,
