left_id,right_id,label
368,382,0
138,341,1
176,215,0
47,129,0
361,406,0
97,260,0
305,403,1
13,315,1
83,186,0
21,191,1
100,324,1
167,480,1
66,215,1
8,85,0
87,314,0
165,337,1
124,334,0
116,338,0
205,223,0
148,189,1
382,485,1
115,136,0
378,411,1
46,375,1
352,449,1
52,275,1
53,375,1
152,412,0
6,416,0
410,475,1
37,138,0
77,476,1
248,324,0
23,403,0
114,324,1
225,260,0
222,365,0
13,99,1
126,246,0
303,353,0
260,442,1
341,433,1
172,353,0
106,204,0
47,352,0
279,349,0
158,241,0
173,394,0
51,233,1
193,231,0
293,391,0
363,364,0
85,394,1
230,296,1
180,272,0
224,467,0
177,355,0
63,91,1
178,331,0
232,477,0
135,406,0
61,388,0
115,390,1
23,349,0
31,47,1
226,323,0
90,380,1
108,419,1
174,437,0
0,197,0
278,329,1
364,384,0
13,321,1
15,136,0
220,326,1
25,269,0
164,184,0
52,377,0
201,441,0
257,356,1
65,138,1
312,385,0
71,282,0
27,351,0
100,133,1
144,248,1
103,291,0
237,349,1
85,246,0
166,324,0
172,291,0
56,182,0
211,215,0
151,414,0
291,443,0
83,299,0
438,441,0
40,169,0
179,378,0
271,316,0
105,209,1
169,268,0
58,416,0
362,386,0
195,401,1
9,336,1
130,282,0
143,445,0
93,120,0
135,285,0
27,458,0
43,462,0
308,423,1
92,393,0
118,442,1
78,210,1
81,345,1
97,308,0
54,342,0
35,410,0
389,442,0
167,244,0
107,454,0
17,182,0
244,308,0
92,160,0
293,394,0
74,196,1
52,202,0
100,182,0
62,223,1
154,213,0
248,289,1
35,86,0
96,363,1
268,477,1
275,374,0
46,351,0
170,320,1
17,247,0
215,455,0
333,481,0
193,360,1
240,417,1
42,201,0
8,367,1
57,293,0
180,328,0
211,287,0
189,290,1
166,413,0
33,475,1
336,369,0
319,427,1
410,416,0
221,286,0
98,232,1
105,258,1
114,122,1
101,270,0
44,330,1
36,408,1
104,461,0
312,340,0
286,376,1
1,348,0
378,424,1
29,401,1
250,328,0
81,309,0
79,446,1
289,405,1
9,269,1
156,328,0
102,131,1
67,338,0
128,446,0
344,455,0
106,428,0
124,340,0
305,315,1
50,425,1
105,155,1
132,253,0
286,302,1
70,339,1
141,406,1
119,320,1
224,420,1
11,300,0
22,389,1
205,414,0
